iid,id,gender,wave,condtn,match,dec,attr,sinc,intel,fun,amb,shar,like,prob,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,int_corr,samerace,age_o,race_o,age,race,field_cd,goal,go_out,career_c,income,gender_label,match_label,income_missing_flag
2,2.0,0,1,1,1,1,7.0,6.0,8.0,9.0,4.0,5.0,5.0,6.0,1,8.0,6.0,9.0,9.0,8.0,7.0,8.0,8.0,4.5,0.5,2.5,2.0,0.0,0.5,7.0,5.0,10.0,8.0,3.0,0.11,1,28.0,2.0,24.0,2.0,1.0,1.0,1.0,2,"65,929.00",Femme,Match,0
2,2.0,0,1,1,0,1,6.0,7.0,8.0,7.0,9.0,8.0,8.0,7.0,0,6.0,5.0,7.0,7.0,9.0,7.0,6.0,9.0,4.5,0.5,2.5,2.0,0.0,0.5,7.0,5.0,10.0,8.0,3.0,0.39,1,24.0,2.0,24.0,2.0,1.0,1.0,1.0,2,"65,929.00",Femme,Pas de match,0
3,3.0,0,1,1,0,0,7.0,9.0,10.0,7.0,8.0,9.0,8.0,7.0,0,7.0,8.0,6.0,5.0,8.0,4.0,5.0,2.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,-0.24,1,27.0,2.0,25.0,2.0,2.0,6.0,1.0,2,"55,080.00",Femme,Pas de match,1
3,3.0,0,1,1,0,0,9.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0,0,6.0,7.0,10.0,6.0,6.0,5.0,7.0,3.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,-0.14,1,22.0,2.0,25.0,2.0,2.0,6.0,1.0,2,"55,080.00",Femme,Pas de match,1
3,3.0,0,1,1,0,0,7.0,9.0,9.0,7.0,9.0,7.0,8.0,7.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,0.09,0,22.0,4.0,25.0,2.0,2.0,6.0,1.0,2,"55,080.00",Femme,Pas de match,1
3,3.0,0,1,1,0,0,9.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,1,7.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,-0.04,1,23.0,2.0,25.0,2.0,2.0,6.0,1.0,2,"55,080.00",Femme,Pas de match,1
3,3.0,0,1,1,0,0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,5.0,1,6.0,10.0,8.0,6.0,7.0,6.0,6.0,1.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,-0.14,0,24.0,3.0,25.0,2.0,2.0,6.0,1.0,2,"55,080.00",Femme,Pas de match,1
3,3.0,0,1,1,0,0,8.0,10.0,10.0,7.0,9.0,9.0,8.0,5.0,1,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,-0.3,1,25.0,2.0,25.0,2.0,2.0,6.0,1.0,2,"55,080.00",Femme,Pas de match,1
3,3.0,0,1,1,0,0,8.0,9.0,10.0,7.0,7.0,9.0,8.0,7.0,0,6.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,-0.26,1,30.0,2.0,25.0,2.0,2.0,6.0,1.0,2,"55,080.00",Femme,Pas de match,1
3,3.0,0,1,1,0,0,7.0,9.0,9.0,8.0,9.0,7.0,8.0,7.0,0,4.0,5.0,6.0,4.0,6.0,4.0,5.0,1.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,0.29,1,27.0,2.0,25.0,2.0,2.0,6.0,1.0,2,"55,080.00",Femme,Pas de match,1
3,3.0,0,1,1,0,0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,1,7.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,-0.15,1,28.0,2.0,25.0,2.0,2.0,6.0,1.0,2,"55,080.00",Femme,Pas de match,1
3,3.0,0,1,1,0,0,8.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,0,5.0,6.0,8.0,5.0,8.0,6.0,5.0,5.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,-0.47,1,24.0,2.0,25.0,2.0,2.0,6.0,1.0,2,"55,080.00",Femme,Pas de match,1
4,4.0,0,1,1,0,0,4.0,10.0,8.0,5.0,8.0,7.0,6.0,7.0,0,6.0,7.0,8.0,7.0,7.0,5.0,6.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,8.0,9.0,7.0,8.0,-0.18,1,27.0,2.0,23.0,2.0,1.0,1.0,1.0,1,"37,754.00",Femme,Pas de match,0
4,4.0,0,1,1,0,0,8.0,7.0,8.0,10.0,7.0,8.0,8.0,1.0,0,6.0,5.0,10.0,6.0,6.0,5.0,6.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,8.0,9.0,7.0,8.0,-0.18,1,22.0,2.0,23.0,2.0,1.0,1.0,1.0,1,"37,754.00",Femme,Pas de match,0
4,4.0,0,1,1,0,0,4.0,7.0,8.0,8.0,6.0,7.0,4.0,1.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,8.0,9.0,7.0,8.0,0.05,0,22.0,4.0,23.0,2.0,1.0,1.0,1.0,1,"37,754.00",Femme,Pas de match,0
4,4.0,0,1,1,1,1,8.0,10.0,7.0,10.0,7.0,10.0,8.0,10.0,1,7.0,7.0,7.0,9.0,9.0,9.0,8.0,10.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,8.0,9.0,7.0,8.0,-0.18,1,23.0,2.0,23.0,2.0,1.0,1.0,1.0,1,"37,754.00",Femme,Match,0
4,4.0,0,1,1,0,0,6.0,9.0,8.0,9.0,8.0,9.0,7.0,7.0,1,8.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,8.0,9.0,7.0,8.0,0.21,0,24.0,3.0,23.0,2.0,1.0,1.0,1.0,1,"37,754.00",Femme,Pas de match,0
4,4.0,0,1,1,0,0,5.0,10.0,8.0,4.0,8.0,2.0,4.0,3.0,1,6.0,6.0,7.0,7.0,8.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,8.0,9.0,7.0,8.0,0.37,1,25.0,2.0,23.0,2.0,1.0,1.0,1.0,1,"37,754.00",Femme,Pas de match,0
4,4.0,0,1,1,0,0,7.0,10.0,10.0,7.0,10.0,5.0,5.0,1.0,1,7.0,6.0,3.0,5.0,6.0,5.0,6.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,8.0,9.0,7.0,8.0,0.35,1,30.0,2.0,23.0,2.0,1.0,1.0,1.0,1,"37,754.00",Femme,Pas de match,0
4,4.0,0,1,1,0,0,5.0,9.0,9.0,5.0,9.0,7.0,6.0,6.0,0,6.0,7.0,8.0,6.0,6.0,5.0,7.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,8.0,9.0,7.0,8.0,0.15,1,27.0,2.0,23.0,2.0,1.0,1.0,1.0,1,"37,754.00",Femme,Pas de match,0
4,4.0,0,1,1,1,1,9.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0,1,7.0,7.0,7.0,10.0,9.0,10.0,8.0,8.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,8.0,9.0,7.0,8.0,-0.47,1,28.0,2.0,23.0,2.0,1.0,1.0,1.0,1,"37,754.00",Femme,Match,0
4,4.0,0,1,1,0,1,8.0,9.0,10.0,10.0,8.0,8.0,10.0,8.0,0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,8.0,9.0,7.0,8.0,-0.19,1,24.0,2.0,23.0,2.0,1.0,1.0,1.0,1,"37,754.00",Femme,Pas de match,0
5,5.0,0,1,1,0,0,5.0,8.0,8.0,2.0,2.0,2.0,7.0,5.0,0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0,2.0,0.5,2.5,2.5,1.0,1.5,6.0,3.0,6.0,10.0,8.0,-0.43,1,27.0,2.0,21.0,2.0,1.0,2.0,1.0,1,"86,340.00",Femme,Pas de match,0
5,5.0,0,1,1,0,0,8.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,0,6.0,7.0,10.0,7.0,6.0,5.0,7.0,4.0,2.0,0.5,2.5,2.5,1.0,1.5,6.0,3.0,6.0,10.0,8.0,0.0,1,22.0,2.0,21.0,2.0,1.0,2.0,1.0,1,"86,340.00",Femme,Pas de match,0
5,5.0,0,1,1,0,0,4.0,6.0,8.0,8.0,6.0,5.0,6.0,5.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,0.5,2.5,2.5,1.0,1.5,6.0,3.0,6.0,10.0,8.0,-0.17,0,22.0,4.0,21.0,2.0,1.0,2.0,1.0,1,"86,340.00",Femme,Pas de match,0
5,5.0,0,1,1,1,1,8.0,5.0,5.0,7.0,7.0,9.0,8.0,2.0,1,6.0,8.0,6.0,8.0,10.0,10.0,7.0,7.0,2.0,0.5,2.5,2.5,1.0,1.5,6.0,3.0,6.0,10.0,8.0,0.08,1,23.0,2.0,21.0,2.0,1.0,2.0,1.0,1,"86,340.00",Femme,Match,0
5,5.0,0,1,1,0,0,6.0,7.0,7.0,5.0,4.0,8.0,7.0,4.0,0,5.0,9.0,9.0,7.0,9.0,5.0,5.0,7.0,2.0,0.5,2.5,2.5,1.0,1.5,6.0,3.0,6.0,10.0,8.0,-0.16,0,24.0,3.0,21.0,2.0,1.0,2.0,1.0,1,"86,340.00",Femme,Pas de match,0
5,5.0,0,1,1,0,1,5.0,6.0,7.0,5.0,7.0,8.0,7.0,3.0,0,5.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,2.0,0.5,2.5,2.5,1.0,1.5,6.0,3.0,6.0,10.0,8.0,0.06,1,25.0,2.0,21.0,2.0,1.0,2.0,1.0,1,"86,340.00",Femme,Pas de match,0
5,5.0,0,1,1,0,1,6.0,6.0,8.0,5.0,5.0,6.0,6.0,3.0,0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,0.5,2.5,2.5,1.0,1.5,6.0,3.0,6.0,10.0,8.0,-0.05,1,30.0,2.0,21.0,2.0,1.0,2.0,1.0,1,"86,340.00",Femme,Pas de match,0
5,5.0,0,1,1,0,1,5.0,5.0,7.0,6.0,7.0,5.0,6.0,4.0,0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,2.0,0.5,2.5,2.5,1.0,1.5,6.0,3.0,6.0,10.0,8.0,0.07,1,27.0,2.0,21.0,2.0,1.0,2.0,1.0,1,"86,340.00",Femme,Pas de match,0
5,5.0,0,1,1,1,1,7.0,5.0,7.0,8.0,7.0,9.0,9.0,4.0,1,5.0,9.0,9.0,9.0,9.0,6.0,7.0,7.0,2.0,0.5,2.5,2.5,1.0,1.5,6.0,3.0,6.0,10.0,8.0,-0.13,1,28.0,2.0,21.0,2.0,1.0,2.0,1.0,1,"86,340.00",Femme,Match,0
5,5.0,0,1,1,0,1,9.0,6.0,7.0,9.0,6.0,5.0,10.0,3.0,0,3.0,10.0,7.0,7.0,10.0,5.0,4.0,10.0,2.0,0.5,2.5,2.5,1.0,1.5,6.0,3.0,6.0,10.0,8.0,-0.06,1,24.0,2.0,21.0,2.0,1.0,2.0,1.0,1,"86,340.00",Femme,Pas de match,0
6,6.0,0,1,1,0,1,6.0,9.0,7.0,6.0,7.0,6.0,6.0,6.0,0,7.0,9.0,8.0,9.0,8.0,4.0,7.0,4.0,1.0,2.5,2.0,2.5,0.5,1.5,5.0,7.0,8.0,9.0,5.0,0.33,0,27.0,2.0,23.0,4.0,1.0,1.0,1.0,1,"60,304.00",Femme,Pas de match,0
6,6.0,0,1,1,0,1,6.0,9.0,9.0,6.0,8.0,2.0,7.0,6.0,0,6.0,8.0,10.0,6.0,7.0,6.0,7.0,4.0,1.0,2.5,2.0,2.5,0.5,1.5,5.0,7.0,8.0,9.0,5.0,0.37,0,22.0,2.0,23.0,4.0,1.0,1.0,1.0,1,"60,304.00",Femme,Pas de match,0
6,6.0,0,1,1,0,0,4.0,7.0,9.0,4.0,3.0,2.0,6.0,2.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.5,2.0,2.5,0.5,1.5,5.0,7.0,8.0,9.0,5.0,-0.51,1,22.0,4.0,23.0,4.0,1.0,1.0,1.0,1,"60,304.00",Femme,Pas de match,0
6,6.0,0,1,1,1,1,8.0,6.0,7.0,8.0,2.0,8.0,9.0,4.0,1,6.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,1.0,2.5,2.0,2.5,0.5,1.5,5.0,7.0,8.0,9.0,5.0,0.12,0,23.0,2.0,23.0,4.0,1.0,1.0,1.0,1,"60,304.00",Femme,Match,0
6,6.0,0,1,1,0,0,5.0,4.0,8.0,8.0,4.0,2.0,4.0,3.0,1,9.0,7.0,9.0,7.0,9.0,6.0,9.0,2.0,1.0,2.5,2.0,2.5,0.5,1.5,5.0,7.0,8.0,9.0,5.0,0.35,0,24.0,3.0,23.0,4.0,1.0,1.0,1.0,1,"60,304.00",Femme,Pas de match,0
6,6.0,0,1,1,0,0,3.0,7.0,6.0,1.0,1.0,1.0,2.0,2.0,1,6.0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,1.0,2.5,2.0,2.5,0.5,1.5,5.0,7.0,8.0,9.0,5.0,0.19,0,25.0,2.0,23.0,4.0,1.0,1.0,1.0,1,"60,304.00",Femme,Pas de match,0
6,6.0,0,1,1,0,1,8.0,8.0,8.0,8.0,3.0,4.0,8.0,7.0,0,5.0,6.0,8.0,4.0,5.0,4.0,3.0,3.0,1.0,2.5,2.0,2.5,0.5,1.5,5.0,7.0,8.0,9.0,5.0,0.47,0,30.0,2.0,23.0,4.0,1.0,1.0,1.0,1,"60,304.00",Femme,Pas de match,0
6,6.0,0,1,1,0,0,4.0,8.0,9.0,2.0,8.0,3.0,5.0,5.0,0,6.0,7.0,8.0,7.0,8.0,5.0,7.0,6.0,1.0,2.5,2.0,2.5,0.5,1.5,5.0,7.0,8.0,9.0,5.0,0.03,0,27.0,2.0,23.0,4.0,1.0,1.0,1.0,1,"60,304.00",Femme,Pas de match,0
6,6.0,0,1,1,1,1,7.0,6.0,8.0,8.0,6.0,9.0,9.0,6.0,1,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,1.0,2.5,2.0,2.5,0.5,1.5,5.0,7.0,8.0,9.0,5.0,0.46,0,28.0,2.0,23.0,4.0,1.0,1.0,1.0,1,"60,304.00",Femme,Match,0
6,6.0,0,1,1,0,1,8.0,9.0,9.0,9.0,10.0,7.0,9.0,8.0,0,7.0,10.0,10.0,6.0,10.0,7.0,6.0,7.0,1.0,2.5,2.0,2.5,0.5,1.5,5.0,7.0,8.0,9.0,5.0,0.43,0,24.0,2.0,23.0,4.0,1.0,1.0,1.0,1,"60,304.00",Femme,Pas de match,0
7,7.0,0,1,1,0,0,4.0,8.0,8.0,5.0,7.0,4.0,7.0,4.0,0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,1.5,1.5,2.5,2.0,1.5,1.0,6.0,6.0,5.0,7.0,7.0,0.19,0,27.0,2.0,22.0,4.0,1.0,1.0,1.0,1,"54,620.00",Femme,Pas de match,0
7,7.0,0,1,1,0,0,6.0,6.0,8.0,4.0,9.0,4.0,7.0,3.0,1,7.0,9.0,10.0,6.0,6.0,5.0,8.0,4.0,1.5,1.5,2.5,2.0,1.5,1.0,6.0,6.0,5.0,7.0,7.0,0.21,0,22.0,2.0,22.0,4.0,1.0,1.0,1.0,1,"54,620.00",Femme,Pas de match,0
7,7.0,0,1,1,0,0,3.0,6.0,8.0,7.0,8.0,8.0,7.0,8.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.5,1.5,2.5,2.0,1.5,1.0,6.0,6.0,5.0,7.0,7.0,0.52,1,22.0,4.0,22.0,4.0,1.0,1.0,1.0,1,"54,620.00",Femme,Pas de match,0
7,7.0,0,1,1,1,1,7.0,8.0,8.0,7.0,7.0,6.0,8.0,6.0,1,8.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0,1.5,1.5,2.5,2.0,1.5,1.0,6.0,6.0,5.0,7.0,7.0,-0.46,0,23.0,2.0,22.0,4.0,1.0,1.0,1.0,1,"54,620.00",Femme,Match,0
7,7.0,0,1,1,0,0,4.0,7.0,7.0,4.0,8.0,5.0,5.0,6.0,1,8.0,7.0,9.0,6.0,9.0,5.0,8.0,4.0,1.5,1.5,2.5,2.0,1.5,1.0,6.0,6.0,5.0,7.0,7.0,-0.27,0,24.0,3.0,22.0,4.0,1.0,1.0,1.0,1,"54,620.00",Femme,Pas de match,0
7,7.0,0,1,1,0,0,4.0,8.0,7.0,4.0,5.0,4.0,5.0,5.0,1,8.0,8.0,8.0,6.0,6.0,6.0,7.0,7.0,1.5,1.5,2.5,2.0,1.5,1.0,6.0,6.0,5.0,7.0,7.0,0.59,0,25.0,2.0,22.0,4.0,1.0,1.0,1.0,1,"54,620.00",Femme,Pas de match,0
7,7.0,0,1,1,0,1,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,0,7.0,6.0,5.0,4.0,4.0,3.0,5.0,4.0,1.5,1.5,2.5,2.0,1.5,1.0,6.0,6.0,5.0,7.0,7.0,0.31,0,30.0,2.0,22.0,4.0,1.0,1.0,1.0,1,"54,620.00",Femme,Pas de match,0
7,7.0,0,1,1,0,0,5.0,7.0,8.0,5.0,9.0,5.0,5.0,7.0,1,8.0,7.0,6.0,7.0,7.0,5.0,7.0,5.0,1.5,1.5,2.5,2.0,1.5,1.0,6.0,6.0,5.0,7.0,7.0,0.08,0,27.0,2.0,22.0,4.0,1.0,1.0,1.0,1,"54,620.00",Femme,Pas de match,0
7,7.0,0,1,1,1,1,6.0,6.0,8.0,8.0,8.0,6.0,6.0,6.0,1,9.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,1.5,1.5,2.5,2.0,1.5,1.0,6.0,6.0,5.0,7.0,7.0,-0.34,0,28.0,2.0,22.0,4.0,1.0,1.0,1.0,1,"54,620.00",Femme,Match,0
7,7.0,0,1,1,0,1,8.0,6.0,7.0,7.0,8.0,6.0,7.0,5.0,0,7.0,6.0,8.0,6.0,8.0,7.0,7.0,7.0,1.5,1.5,2.5,2.0,1.5,1.0,6.0,6.0,5.0,7.0,7.0,-0.16,0,24.0,2.0,22.0,4.0,1.0,1.0,1.0,1,"54,620.00",Femme,Pas de match,0
8,8.0,0,1,1,0,1,5.0,8.0,7.0,4.0,7.0,5.0,4.0,5.0,0,8.0,7.0,6.0,6.0,6.0,5.0,7.0,4.0,0.909,1.818,2.727,1.818,1.818,0.909,7.0,4.0,8.0,8.0,8.0,-0.03,1,27.0,2.0,25.0,2.0,13.0,1.0,1.0,6,"55,080.00",Femme,Pas de match,1
8,8.0,0,1,1,1,1,8.0,7.0,7.0,9.0,6.0,7.0,8.0,7.0,1,8.0,8.0,10.0,7.0,6.0,5.0,9.0,4.0,0.909,1.818,2.727,1.818,1.818,0.909,7.0,4.0,8.0,8.0,8.0,-0.11,1,22.0,2.0,25.0,2.0,13.0,1.0,1.0,6,"55,080.00",Femme,Match,1
8,8.0,0,1,1,1,1,5.0,8.0,8.0,6.0,7.0,7.0,5.0,5.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.909,1.818,2.727,1.818,1.818,0.909,7.0,4.0,8.0,8.0,8.0,0.42,0,22.0,4.0,25.0,2.0,13.0,1.0,1.0,6,"55,080.00",Femme,Match,1
8,8.0,0,1,1,1,1,8.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,1,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,0.909,1.818,2.727,1.818,1.818,0.909,7.0,4.0,8.0,8.0,8.0,-0.4,1,23.0,2.0,25.0,2.0,13.0,1.0,1.0,6,"55,080.00",Femme,Match,1
8,8.0,0,1,1,1,1,6.0,8.0,8.0,5.0,6.0,7.0,6.0,5.0,1,9.0,9.0,8.0,9.0,7.0,7.0,9.0,7.0,0.909,1.818,2.727,1.818,1.818,0.909,7.0,4.0,8.0,8.0,8.0,-0.23,0,24.0,3.0,25.0,2.0,13.0,1.0,1.0,6,"55,080.00",Femme,Match,1
